council,county
Barking and Dagenham,Greater London
Barnet,Greater London
Bexley,Greater London
Brent,Greater London
Bromley,Greater London
Camden,Greater London
City of London,City of London
Croydon,Greater London
Ealing,Greater London
Enfield,Greater London
Greenwich,Greater London
Hackney,Greater London
Hammersmith and Fulham,Greater London
Haringey,Greater London
Harrow,Greater London
Havering,Greater London
Hillingdon,Greater London
Hounslow,Greater London
Islington,Greater London
Kensington and Chelsea,Greater London
Kingston upon Thames,Greater London
Lambeth,Greater London
Lewisham,Greater London
Merton,Greater London
Newham,Greater London
Redbridge,Greater London
Richmond upon Thames,Greater London
Southwark,Greater London
Sutton,Greater London
Tower Hamlets,Greater London
Waltham Forest,Greater London
Wandsworth,Greater London
Westminster,Greater London
