council,county
Barnsley,South Yorkshire
Birmingham,West Midlands
Bolton,Greater Manchester
Bradford,West Yorkshire
Bury,Greater Manchester
Calderdale,West Yorkshire
Coventry,West Midlands
Doncaster,South Yorkshire
Dudley,West Midlands
Gateshead,Tyne and Wear
Kirklees,West Yorkshire
Knowsley,Merseyside
Leeds,West Yorkshire
Liverpool,Merseyside
Manchester,Greater Manchester
Newcastle Upon Tyne,Tyne and Wear
North Tyneside,Tyne and Wear
Oldham,Greater Manchester
Rochdale,Greater Manchester
Rotherham,South Yorkshire
Salford,Greater Manchester
Sandwell,West Midlands
Sefton,Merseyside
Sheffield,South Yorkshire
Solihull,West Midlands
South Tyneside,Tyne and Wear
St Helens,Merseyside
Stockport,Greater Manchester
Sunderland,Tyne and Wear
Tameside,Greater Manchester
Trafford,Greater Manchester
Wakefield,West Yorkshire
Walsall,West Midlands
Wigan,Greater Manchester
Wirral,Merseyside
Wolverhampton,West Midlands
